MasterCatalogName,ProductCode,VariationCode,Enabled,ExtraPrice,FixedListPrice,FixedSalePrice,FixedMSRP,DeltaMSRP,FixedWeight,ExtraWeight,ExtraCost,FulfillmentTypes,MfgPartNo,UPC,DistPartNo,sleeping-bag-shape,sleeping-capacity,fits-up-to,length,lens-color,sock-height,material,frame-color,meat,gear-capacity,temperature-rating,gender,brand-colors,hat-style,number-of-exterior-pockets,shirt-size,shirt-style,inseam-in.-,shoe-size,fabric-type,faset-color,size,pant-rise,pant-size,metal-type,attribut-bd,finish,service,service-hours,width,herb-size,gift-card-amount,size-families,skate-size,skate-width,hand,flex,pattern,fertilizer-size,marketplace-vendor,clear-glaze-size,hair-color,backpack-size,distributor-demo,shoe-color,shoe-width,texture,wheel-size,shade,sample,lift-ticket-age,number-of-students,billing-frequency,rug-color,frame-type
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_005,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-6,Yes,,120.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Solar-Flare-Orange,,,,,,,,,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-9,Yes,,130.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Solar-Flare-Orange,,,,,,,,,L/XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-4,Yes,,120.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Pine-Green,,,,,,,,,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-8,Yes,,130.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Pine-Green,,,,,,,,,L/XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-2,Yes,,120.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Anthracite-Black,,,,,,,,,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_004,BackP_004-7,Yes,,130.00,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Anthracite-Black,,,,,,,,,L/XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-4,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Stormcloud-Grey,,,,,,,,,XS/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-3,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Stormcloud-Grey,,,,,,,,,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-6,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Stormcloud-Grey,,,,,,,,,M/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-2,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Mystic-Magenta,,,,,,,,,XS/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-1,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Mystic-Magenta,,,,,,,,,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_002,BackP_002-5,Yes,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,Mystic-Magenta,,,,,,,,,M/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Outdoors Master,BackP_001,BackP_001-8,No,,,,,,,0.0000,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
